Snapshot,P_Disk,P_Irr,P_Spheroid,SubhaloID
25,0.0724597,0.11743155,0.72280145,0
25,0.5781485,0.9988083,0.0050972104,1
25,0.004213989,0.9567697,0.00023081899,2
25,1.8226328e-07,0.94042623,0.00015050173,3
25,0.002275765,0.683999,0.009307027,4
25,0.17650229,0.8086994,0.0015925765,5
25,0.66387767,0.6005012,0.0027953386,6
25,0.024202555,0.37962213,0.0060189366,10
25,0.021408945,0.5385772,0.006096542,12
25,0.021237522,0.5249008,0.031782776,15
25,0.717938,0.1233291,0.7220554,3769
25,0.13144472,0.16295221,0.64145285,3770
25,0.010098398,0.9769335,0.002450347,3771
25,0.26820862,0.9711386,0.0033056736,3772
25,0.011637628,0.80834264,0.0010773242,3773
25,4.77719e-07,0.41571158,0.0015716255,3783
25,0.018823445,0.020818472,0.7563467,8285
25,0.7062415,0.7238404,0.001786083,8286
25,2.4065444e-06,0.6601219,0.0006361604,8287
25,0.5452875,0.96037924,0.0067266524,8288
25,6.367564e-08,0.8763151,0.00010302567,8290
25,0.00066679716,0.5011126,0.00037786365,8291
25,1.0457903e-08,0.342736,0.0046574175,8295
25,0.00095397234,0.35134804,0.028329432,8297
25,0.008370429,0.43778634,0.0058411956,8298
25,0.67745245,0.15596509,0.34083223,10843
25,0.5991062,0.9432328,0.02074349,10844
25,0.0017310679,0.5279904,0.0020017624,10846
25,0.014010787,0.9669657,0.00038903952,12907
25,0.71987814,0.97490835,0.0020842254,12908
25,0.025608659,0.89085704,0.0014417768,12909
25,0.48412305,0.97931796,0.0040454566,12910
25,0.6814506,0.561808,0.0022878349,12911
25,0.35917455,0.984679,0.0016995668,14286
25,0.14711815,0.9804237,0.0053522587,14287
25,0.69168663,0.4103194,0.0014259517,14288
25,0.6717978,0.65902174,0.04116112,14289
25,2.5740086e-05,0.49592155,0.0020213127,14290
25,0.033948243,0.5755024,0.0024263859,14291
25,0.70540917,0.5138381,0.41863126,16024
25,0.022725612,0.82267845,0.016004294,16025
25,0.047450393,0.82386804,0.00060740113,16026
25,0.0034098625,0.44807908,0.0020814538,16027
25,0.041617155,0.9844072,0.00013104081,17197
25,0.4395514,0.976542,0.0022349358,17198
25,0.61829704,0.90960693,0.004603207,17199
25,0.19066107,0.9752468,0.00064763427,17200
25,0.026544243,0.9899674,0.0005532503,18517
25,7.121856e-07,0.9357656,0.0003014505,18518
25,0.67390037,0.3833006,0.004071653,18519
25,3.025727e-07,0.5033366,0.0020653307,18520
25,0.6496788,0.80512583,0.02104178,18521
25,0.30914858,0.9789115,0.06794408,20563
25,0.5649651,0.9956337,0.04856512,20564
25,0.02212894,0.8584684,0.0011966825,20565
